title,artist,danceability,energy,db,valence,bpm
Beautiful,Snoop Dogg,0.893,0.74,-4.936,0.963,101.025
Say Yes,Floetry,0.747,0.398,-12.932,0.428,117.901
In Those Jeans,Ginuwine,0.691,0.541,-5.873,0.319,127.683
Danger! High Voltage - Soulchild Radio Mix,Electric Six,0.66,0.698,-4.722,0.511,123.005
Sweet Dreams My LA Ex - Radio Edit,Rachel Stevens,0.85,0.862,-3.587,0.908,130.036
Stand Up,Ludacris,0.751,0.84,-4.855,0.801,99.057
I Can,Nas,0.837,0.885,-3.914,0.694,95.313
When I'm Gone,3 Doors Down,0.53,0.768,-5.611,0.374,148.095
How You Gonna Act Like That,Tyrese,0.733,0.521,-3.657,0.525,112.913
Cry Me a River,Justin Timberlake,0.624,0.654,-6.582,0.564,73.898
Mandy,Westlife,0.447,0.636,-5.08,0.376,105.678
It's My Life,No Doubt,0.612,0.735,-5.074,0.783,126.326
Angel,Amanda Perez,0.638,0.54,-6.849,0.352,143.772
Excuse Me Miss,JAY-Z,0.714,0.862,-5.531,0.887,92.849
Clocks,Coldplay,0.577,0.749,-7.215,0.255,130.97
Stole,Kelly Rowland,0.649,0.718,-4.984,0.477,79.993
Work It,Missy Elliott,0.884,0.677,-5.603,0.584,101.868
Rock Wit U (Awww Baby),Ashanti,0.71,0.797,-3.006,0.849,94.998
Move Your Feet,Junior Senior,0.747,0.904,-2.623,0.846,118.877
Like a Stone,Audioslave,0.614,0.568,-5.477,0.516,107.849
Like Glue,Sean Paul,0.757,0.78,-5.038,0.59,97.917
Put That Woman First,Jaheim,0.649,0.536,-8.804,0.513,78.935
All I Have (feat. LL Cool J),Jennifer Lopez,0.701,0.669,-5.265,0.446,83.066
So Gone,Monica,0.618,0.552,-6.863,0.586,81.975
White Flag,Dido,0.512,0.525,-6.823,0.294,169.951
The Seed (2.0),The Roots,0.758,0.957,-2.281,0.966,111.121
Holidae In,Chingy,0.81,0.791,-5.909,0.948,153.067
Can't Let You Go (feat. Mike Shorey & Lil' Mo),Fabolous,0.646,0.6,-6.569,0.811,192.082
Miss Independent,Kelly Clarkson,0.656,0.615,-6.359,0.592,175.943
Mesmerize,Ja Rule,0.769,0.646,-6.653,0.433,90.079
Unwell,Matchbox Twenty,0.256,0.788,-5.263,0.429,80.718
The Way You Move (feat. Sleepy Brown),Outkast,0.871,0.597,-4.932,0.635,125.999
Into You (feat. Tamia),Fabolous,0.546,0.538,-7.886,0.58,182.12
Meant to Live,Switchfoot,0.397,0.903,-4.577,0.556,151.551
If You're Not The One,Daniel Bedingfield,0.688,0.538,-7.608,0.27,119.998
Lifestyles of the Rich & Famous,Good Charlotte,0.62,0.93,-3.685,0.609,106.22
No Letting Go,Wayne Wonder,0.496,0.819,-5.656,0.317,100.215
Reptilia,The Strokes,0.489,0.649,-5.11,0.77,158.009
I'm with You,Avril Lavigne,0.457,0.406,-7.462,0.208,151.95
Leave Right Now,Will Young,0.641,0.445,-8.674,0.383,81.931
Yeah! (feat. Lil Jon & Ludacris),Usher,0.894,0.791,-4.699,0.583,105.018
This Love,Maroon 5,0.712,0.862,-4.612,0.809,95.051
Toxic,Britney Spears,0.774,0.838,-3.914,0.924,143.04
Hey Ya!,Outkast,0.727,0.974,-2.261,0.965,79.526
The Reason,Hoobastank,0.472,0.671,-4.649,0.0681,82.952
Left Outside Alone,Anastacia,0.663,0.746,-3.567,0.325,102.847
Gasolina,Daddy Yankee,0.857,0.801,-6.499,0.753,96.009
Let's Get It Started - Spike Mix,Black Eyed Peas,0.785,0.799,-2.208,0.797,104.923
Dragostea Din Tei,O-Zone,0.809,0.965,-3.947,0.672,130.103
Lean Back,Terror Squad,0.783,0.916,-3.344,0.695,95.321
Sick and Tired,Anastacia,0.598,0.868,-4.552,0.47,99.848
What You Waiting For?,Gwen Stefani,0.676,0.948,-2.557,0.731,136.027
Only U - No Intro,Ashanti,0.601,0.621,-5.576,0.278,94.547
In the Shadows,The Rasmus,0.6,0.796,-4.481,0.75,105.991
I Like That,Houston,0.797,0.502,-3.925,0.385,106.997
Naughty Girl,Beyoncé,0.735,0.466,-8.65,0.643,99.973
Numb,Linkin Park,0.496,0.863,-4.153,0.243,110.018
On Fire,Lloyd Banks,0.759,0.825,-4.289,0.429,94.857
Locked Up,Akon,0.818,0.579,-4.475,0.354,89.987
My Band,D12,0.851,0.849,-3.383,0.844,120.014
Eyes On You - Radio Mix,Jay Sean,0.802,0.672,-4.971,0.619,96.525
I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,Mario Winans,0.833,0.515,-5.0,0.4,97.007
Lose My Breath,Destiny's Child,0.814,0.899,-5.958,0.545,119.011
Call on Me - Radio Mix,Eric Prydz,0.597,0.837,-6.518,0.447,126.342
Goodies (feat. Petey Pablo),Ciara,0.826,0.647,-6.306,0.872,102.017
Trick Me,Kelis,0.97,0.72,-3.347,0.962,107.17
Headsprung,LL Cool J,0.718,0.786,-5.76,0.465,99.916
Black Betty - Edit,Spiderbait,0.562,0.865,-6.476,0.35,124.047
Amazing,George Michael,0.805,0.754,-6.825,0.88,128.429
My Prerogative,Britney Spears,0.749,0.938,-4.423,0.619,111.014
Move Ya Body,Nina Sky,0.87,0.712,-6.313,0.877,121.057
Suga Suga,Baby Bash,0.662,0.748,-3.041,0.535,82.331
Freek-A-Leek,Petey Pablo,0.737,0.697,-3.716,0.662,104.917
Dirt Off Your Shoulder,JAY-Z,0.779,0.655,-7.147,0.645,163.971
La Camisa Negra,Juanes,0.751,0.731,-4.419,0.973,97.007
Nobody's Home,Avril Lavigne,0.348,0.907,-3.66,0.177,185.406
Radio,Robbie Williams,0.607,0.874,-5.409,0.846,130.015
Hey Mama,Black Eyed Peas,0.86,0.866,-6.345,0.933,100.15
Salt Shaker,Ying Yang Twins,0.884,0.697,-6.022,0.322,101.965
Not In Love - Radio Mix,Enrique Iglesias,0.762,0.885,-5.096,0.886,117.021
Milkshake,Kelis,0.881,0.774,-6.068,0.759,112.968
Breaking the Habit,Linkin Park,0.579,0.849,-5.218,0.581,100.021
Leave (Get Out) - Radio Edit,JoJo,0.656,0.513,-8.691,0.464,86.891
Dip It Low,Christina Milian,0.752,0.722,-4.207,0.612,169.131
Read Your Mind,Avant,0.755,0.381,-6.696,0.695,73.108
Just Lose It,Eminem,0.94,0.633,-3.56,0.962,121.003
Too Lost In You,Sugababes,0.586,0.705,-4.904,0.459,98.014
Drop It Like It's Hot,Snoop Dogg,0.892,0.628,-3.832,0.676,92.063
I'm Still in Love with You (feat. Sasha),Sean Paul,0.765,0.666,-5.384,0.756,87.002
Lola's Theme - Radio Edit,The Shapeshifters,0.748,0.845,-4.612,0.659,123.925
How Come,D12,0.745,0.858,-2.221,0.547,89.983
Good Luck,Basement Jaxx,0.571,0.968,-3.092,0.313,154.07
Turn Me On,Kevin Lyttle,0.677,0.682,-6.879,0.875,106.279
One Call Away,Chingy,0.765,0.821,-5.926,0.962,162.519
Bring Em Out,T.I.,0.759,0.891,-2.983,0.587,98.579
Cha Cha Slide - Hardino Mix,DJ Casper,0.853,0.911,-6.722,0.802,131.012
I Believe in You,Kylie Minogue,0.548,0.785,-5.087,0.418,120.939
Overnight Celebrity,Twista,0.828,0.792,-5.435,0.777,134.199
She Wants To Move,N.E.R.D,0.766,0.851,-4.831,0.8,115.012
Everytime,Britney Spears,0.398,0.284,-12.852,0.114,109.599
Vertigo,U2,0.416,0.819,-3.974,0.632,140.083
Take Me Out,Franz Ferdinand,0.277,0.663,-8.821,0.527,104.561
Tipsy - Club Mix,J-Kwon,0.925,0.741,-5.827,0.654,93.04
Wanna Get To Know You,G-Unit,0.513,0.826,-3.651,0.889,76.91
Sunshine (feat. Lea),Lil' Flip,0.814,0.387,-9.867,0.792,93.961
Jesus Walks,Kanye West,0.637,0.834,-4.686,0.715,87.312
My Immortal,Evanescence,0.19,0.265,-9.206,0.101,79.012
My Place,Nelly,0.6,0.641,-4.237,0.642,163.153
If There's Any Justice,Lemar,0.706,0.665,-5.348,0.639,89.993
It's My Life,No Doubt,0.612,0.735,-5.074,0.783,126.326
Don't Tell Me,Avril Lavigne,0.523,0.795,-2.92,0.484,144.106
Slow Jamz,Twista,0.559,0.733,-5.659,0.611,145.115
American Idiot,Green Day,0.38,0.988,-2.042,0.769,186.113
Millionaire,Kelis,0.68,0.847,-6.636,0.75,176.051
Comfortably Numb,Scissor Sisters,0.803,0.924,-6.466,0.788,116.972
Diary (feat. Tony! Toni! Tone! & Jermaine Paul),Alicia Keys,0.663,0.465,-9.711,0.279,127.932
Through The Wire,Kanye West,0.571,0.739,-6.11,0.66,83.089
Come With Me - Radio Edit,Special D.,0.739,0.999,-5.077,0.501,139.982
Splash Waterfalls,Ludacris,0.734,0.846,-6.102,0.702,145.894
My Happy Ending,Avril Lavigne,0.414,0.936,-2.407,0.74,170.229
White Flag,Dido,0.512,0.525,-6.823,0.294,169.951
Fuck It (I Don't Want You Back),Eamon,0.828,0.653,-6.245,0.575,68.507
"Me, Myself and I",Beyoncé,0.75,0.458,-9.092,0.536,83.61
Here Without You,3 Doors Down,0.557,0.533,-6.817,0.233,143.994
All Falls Down,Kanye West,0.657,0.734,-4.832,0.434,91.03
Sunshine (feat. Anthony Hamilton),Twista,0.926,0.888,-5.337,0.819,98.523
The Closest Thing to Crazy,Katie Melua,0.562,0.219,-13.2,0.106,127.831
My Boo,Usher,0.662,0.507,-8.238,0.676,86.412
Southside,Lloyd,0.688,0.404,-9.481,0.448,75.007
Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,LMC,0.668,0.905,-5.395,0.667,128.658
Fit but You Know It,The Streets,0.68,0.844,-1.729,0.895,172.302
Slow Motion,JUVENILE,0.713,0.734,-4.894,0.89,172.872
The Way You Move (feat. Sleepy Brown),Outkast,0.871,0.597,-4.932,0.635,125.999
Love Machine,Girls Aloud,0.663,0.95,-4.21,0.697,116.02
With You,Jessica Simpson,0.553,0.756,-4.583,0.605,94.487
Like Toy Soldiers,Eminem,0.52,0.768,-3.489,0.398,79.178
Mad World (Feat. Michael Andrews),Gary Jules,0.345,0.0581,-17.217,0.304,174.117
Pieces Of Me,Ashlee Simpson,0.505,0.799,-4.286,0.772,174.001
Leave Right Now,Will Young,0.641,0.445,-8.674,0.383,81.931
You Don't Know My Name,Alicia Keys,0.264,0.663,-8.264,0.249,167.078
We Belong Together,Mariah Carey,0.84,0.476,-7.918,0.767,139.987
Let Me Love You,Mario,0.656,0.578,-8.97,0.556,94.514
Gold Digger,Kanye West,0.629,0.696,-5.572,0.623,93.034
Pon de Replay,Rihanna,0.779,0.64,-8.415,0.498,99.019
Candy Shop,50 Cent,0.614,0.574,-7.961,0.755,125.173
You're Beautiful,James Blunt,0.675,0.479,-9.87,0.454,81.998
Boulevard of Broken Dreams,Green Day,0.49,0.679,-3.68,0.506,167.046
Don't Cha,The Pussycat Dolls,0.875,0.631,-3.475,0.549,120.003
Bad Day,Daniel Powter,0.599,0.785,-4.013,0.52,140.046
Bananza (Belly Dancer),Akon,0.878,0.699,-5.897,0.666,104.838
Hung Up,Madonna,0.649,0.647,-7.695,0.405,125.02
Just A Lil Bit,50 Cent,0.489,0.692,-6.672,0.527,96.946
Axel F,Crazy Frog,0.86,0.907,-3.321,0.786,138.045
Ass Like That,Eminem,0.646,0.796,-6.152,0.676,83.093
We Be Burnin',Sean Paul,0.95,0.803,-4.195,0.86,117.0
Rich Girl,Gwen Stefani,0.856,0.754,-2.728,0.722,98.018
Galvanize,The Chemical Brothers,0.745,0.714,-3.681,0.365,104.003
Remember the Name (feat. Styles of Beyond),Fort Minor,0.688,0.835,-4.162,0.88,84.858
Disco Inferno,50 Cent,0.925,0.659,-4.763,0.71,97.018
How We Do,The Game,0.862,0.648,-7.401,0.637,98.012
Run It! (feat. Juelz Santana),Chris Brown,0.846,0.482,-6.721,0.212,100.969
It's Like That,Mariah Carey,0.8,0.633,-4.875,0.836,95.953
My Humps,Black Eyed Peas,0.802,0.682,-5.924,0.586,123.95
Oh (feat. Ludacris),Ciara,0.8,0.496,-7.135,0.357,128.29
Outta Control - Remix,50 Cent,0.772,0.599,-5.996,0.557,92.029
"Baby, I'm Back",Baby Bash,0.899,0.365,-5.461,0.749,100.01
Get Right,Jennifer Lopez,0.741,0.759,-5.096,0.362,97.084
Numb / Encore,JAY-Z,0.687,0.793,-4.254,0.751,107.045
Hate It Or Love It,The Game,0.802,0.785,-4.781,0.435,99.998
Feel Good Inc.,Gorillaz,0.818,0.705,-6.679,0.772,138.559
Don't Phunk With My Heart,Black Eyed Peas,0.69,0.928,-2.76,0.604,130.889
Lonely,Akon,0.629,0.532,-7.88,0.619,90.098
I Like The Way - Radio Edit,Bodyrockers,0.642,0.851,-3.638,0.777,127.988
Push The Button,Sugababes,0.962,0.66,-5.096,0.814,126.016
Soul Survivor,Jeezy,0.684,0.493,-7.728,0.08,84.03
Mockingbird,Eminem,0.637,0.678,-3.798,0.254,84.039
La Tortura (feat. Alejandro Sanz),Shakira,0.74,0.783,-5.367,0.812,100.011
DARE,Gorillaz,0.76,0.891,-5.852,0.966,120.264
Signs,Snoop Dogg,0.94,0.713,-5.308,0.666,112.955
Tripping,Robbie Williams,0.666,0.922,-4.458,0.828,118.014
Play,David Banner,0.837,0.658,-8.013,0.586,95.027
Some Cut,Trillville,0.9,0.515,-6.626,0.659,84.995
Laffy Taffy,D4L,0.891,0.439,-7.994,0.622,77.499
Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,0.904,0.813,-7.105,0.81,125.461
Lonely No More,Rob Thomas,0.551,0.896,-3.152,0.858,171.79
Almost Here,Brian McFadden,0.561,0.452,-7.324,0.316,77.984
"Slow Down - 12"" Version",Bobby V.,0.568,0.732,-4.896,0.626,186.048
Incomplete,Backstreet Boys,0.437,0.589,-4.834,0.165,133.631
Grind With Me,Pretty Ricky,0.7,0.538,-5.952,0.189,136.518
Diamonds From Sierra Leone - Remix,Kanye West,0.672,0.814,-3.768,0.379,97.043
Drop It Like It's Hot,Snoop Dogg,0.892,0.628,-3.832,0.676,92.063
Get It Poppin' (feat. Nelly) - Radio Version,Fat Joe,0.905,0.55,-7.558,0.52,100.813
Soldier (feat. T.I. & Lil' Wayne),Destiny's Child,0.878,0.417,-6.799,0.904,77.49
"1, 2 Step (feat. Missy Elliott) - Main",Ciara,0.939,0.498,-10.94,0.801,113.053
1 Thing,Amerie,0.636,0.946,-4.683,0.891,125.085
Get Back,Ludacris,0.555,0.639,-5.16,0.184,171.609
Do You Want To,Franz Ferdinand,0.412,0.944,-2.896,0.79,123.091
Shiver,Natalie Imbruglia,0.489,0.798,-4.49,0.309,94.163
Hollaback Girl,Gwen Stefani,0.926,0.916,-2.221,0.904,110.007
Your Body,Pretty Ricky,0.838,0.594,-5.695,0.507,90.038
The Kill,Thirty Seconds To Mars,0.179,0.912,-3.881,0.289,182.99
Karma,Alicia Keys,0.727,0.736,-6.203,0.687,85.098
Ghetto Gospel,2Pac,0.794,0.614,-5.352,0.663,80.569
Don't Love You No More (I'm Sorry),Craig David,0.636,0.558,-7.076,0.572,100.113
Nine Million Bicycles,Katie Melua,0.534,0.247,-15.636,0.344,82.168
Lovers And Friends,Lil Jon & The East Side Boyz,0.675,0.501,-6.183,0.532,139.861
Don't Forget About Us - Radio Edit,Mariah Carey,0.7,0.529,-6.816,0.386,143.555
Wait (The Whisper Song),Ying Yang Twins,0.933,0.513,-13.203,0.595,102.017
Switch,Will Smith,0.873,0.9,-4.325,0.478,102.516
Like You (feat. Ciara),Bow Wow,0.714,0.6,-8.365,0.504,82.017
Everyday I Love You Less And Less,Kaiser Chiefs,0.49,0.956,-4.556,0.577,160.028
Behind These Hazel Eyes,Kelly Clarkson,0.548,0.889,-4.682,0.425,90.048
Don't Lie,Black Eyed Peas,0.662,0.785,-5.299,0.604,89.885
You Raise Me Up,Westlife,0.129,0.358,-6.596,0.172,75.048
One Wish,Ray J,0.525,0.652,-7.042,0.602,127.673
Scars,Papa Roach,0.455,0.929,-3.295,0.484,89.782
I Bet You Look Good On The Dancefloor,Arctic Monkeys,0.535,0.948,-4.19,0.778,103.183
That's My Goal,Shayne Ward,0.286,0.508,-5.966,0.14,68.637
Let Me Hold You (feat. Omarion),Bow Wow,0.815,0.662,-8.244,0.611,151.518
I Predict A Riot,Kaiser Chiefs,0.395,0.979,-3.241,0.41,158.842
Caught Up,Usher,0.817,0.806,-4.606,0.805,110.086
Because of You,Kelly Clarkson,0.587,0.583,-5.284,0.15,139.92
Let Me Go,3 Doors Down,0.478,0.863,-4.914,0.491,92.004
Photograph,Nickelback,0.515,0.876,-3.756,0.385,145.916
I'm Sprung,T-Pain,0.722,0.329,-11.617,0.166,99.991
Cater 2 U,Destiny's Child,0.605,0.584,-7.043,0.464,125.802
Stickwitu,The Pussycat Dolls,0.548,0.554,-6.408,0.382,79.918
True,Ryan Cabrera,0.598,0.4,-10.054,0.369,96.938
Dakota,Stereophonics,0.506,0.93,-3.499,0.305,146.994
Like Toy Soldiers,Eminem,0.52,0.768,-3.489,0.398,79.178
Over And Over,Nelly,0.644,0.517,-10.02,0.464,169.799
Speed of Sound,Coldplay,0.514,0.898,-6.765,0.353,123.067
Suddenly I See,KT Tunstall,0.587,0.767,-5.713,0.664,100.38
Girl,Destiny's Child,0.567,0.747,-6.019,0.556,89.036
Since U Been Gone,Kelly Clarkson,0.662,0.739,-5.354,0.382,130.999
Sometimes You Can't Make It On Your Own,U2,0.53,0.597,-5.652,0.346,96.0
Dirty Little Secret,The All-American Rejects,0.469,0.955,-4.253,0.462,143.853
As Good As I Once Was,Toby Keith,0.68,0.87,-4.461,0.646,119.075
Cool,Gwen Stefani,0.709,0.721,-3.52,0.801,112.019
Best of You,Foo Fighters,0.366,0.94,-5.119,0.369,130.198
Hips Don't Lie (feat. Wyclef Jean),Shakira,0.778,0.824,-5.892,0.758,100.024
Temperature,Sean Paul,0.951,0.6,-4.675,0.822,125.04
SexyBack (feat. Timbaland),Justin Timberlake,0.967,0.583,-5.562,0.964,117.0
Irreplaceable,Beyoncé,0.447,0.694,-4.637,0.509,175.868
Rehab,Amy Winehouse,0.407,0.558,-13.609,0.777,71.815
SOS,Rihanna,0.677,0.671,-4.905,0.527,137.046
Crazy,Gnarls Barkley,0.855,0.587,-4.589,0.64,111.97
Touch It,Busta Rhymes,0.658,0.551,-6.62,0.442,138.335
Maneater,Nelly Furtado,0.796,0.777,-4.81,0.787,132.722
Rock This Party - Everybody Dance Now,Bob Sinclar,0.893,0.823,-3.708,0.902,128.009
Come to Me (feat. Nicole Scherzinger),Diddy,0.819,0.485,-6.45,0.386,96.998
Sorry,Madonna,0.589,0.877,-6.229,0.443,132.971
Ridin',Chamillionaire,0.787,0.799,-4.68,0.835,143.052
Pump It,Black Eyed Peas,0.648,0.931,-3.15,0.744,153.649
Promiscuous,Nelly Furtado,0.808,0.97,-6.098,0.868,114.328
Put Your Hands Up for Detroit - Radio Edit,Fedde Le Grand,0.814,0.923,-4.525,0.518,127.919
(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,Sean Paul,0.711,0.761,-3.04,0.718,95.824
Buttons,The Pussycat Dolls,0.565,0.817,-4.338,0.477,210.851
Get Up (feat. Chamillionaire),Ciara,0.964,0.595,-6.887,0.629,128.593
Shake That,Eminem,0.963,0.643,-5.785,0.534,107.005
Do It To It,Cherish,0.826,0.67,-5.559,0.794,74.007
Supermassive Black Hole,Muse,0.668,0.921,-3.727,0.782,120.0
Gimme That,Chris Brown,0.678,0.572,-7.033,0.444,87.165
From Paris to Berlin,Infernal,0.741,0.869,-6.534,0.839,126.069
Me & U,Cassie,0.803,0.454,-4.802,0.739,99.99
U and Dat (feat. T. Pain & Kandi Girl),E-40,0.858,0.484,-7.448,0.329,99.992
Beep,The Pussycat Dolls,0.938,0.735,-6.382,0.55,103.7
Snap Yo Fingers,Lil Jon,0.835,0.757,-5.029,0.626,82.038
My My My - Radio Edit,Armand Van Helden,0.678,0.768,-8.502,0.758,127.51
"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",The Notorious B.I.G.,0.833,0.628,-7.041,0.645,106.328
It's Goin' Down (feat. Nitti),Yung Joc,0.888,0.577,-7.702,0.609,84.003
No Promises,Shayne Ward,0.5,0.498,-6.087,0.182,79.798
My Love (feat. T.I.),Justin Timberlake,0.771,0.68,-5.881,0.808,119.952
Savin' Me,Nickelback,0.441,0.815,-4.088,0.522,164.007
Grillz,Nelly,0.867,0.504,-7.737,0.84,82.996
Patience,Take That,0.309,0.783,-4.154,0.372,175.788
London Bridge,Fergie,0.769,0.609,-5.894,0.633,90.951
Everytime We Touch - Radio Edit,Cascada,0.64,0.977,-5.369,0.493,142.019
Laffy Taffy,D4L,0.891,0.439,-7.994,0.622,77.499
Control Myself,LL Cool J,0.825,0.876,-6.556,0.48,120.066
Deja Vu (feat. Jay-Z),Beyoncé,0.644,0.746,-4.941,0.355,105.253
Stupid Girls,P!nk,0.683,0.886,-5.045,0.566,100.04
When I'm Gone,Eminem,0.618,0.746,-5.476,0.75,75.272
Bossy,Kelis,0.906,0.633,-5.316,0.779,84.021
Love Generation - Radio Edit,Bob Sinclar,0.715,0.812,-5.758,0.554,128.04
Thunder in My Heart Again (Radio Edit),Meck,0.679,0.922,-4.67,0.806,129.016
Be Without You - Kendu Mix,Mary J. Blige,0.726,0.7,-5.881,0.673,146.559
Something Kinda Ooooh,Girls Aloud,0.681,0.908,-3.918,0.879,131.925
Unfaithful,Rihanna,0.588,0.391,-8.607,0.349,144.069
Touch The Sky,Kanye West,0.552,0.846,-4.912,0.554,98.56
"Lean Wit It, Rock Wit It",Dem Franchize Boyz,0.886,0.62,-5.854,0.6,76.035
Call Me When You're Sober,Evanescence,0.45,0.883,-4.094,0.328,93.41
Pullin' Me Back,Chingy,0.786,0.511,-6.66,0.587,80.0
Far Away,Nickelback,0.518,0.797,-5.153,0.293,132.918
"Dance, Dance",Fall Out Boy,0.622,0.961,-3.198,0.449,114.452
A Moment Like This,Leona Lewis,0.261,0.562,-3.667,0.167,70.543
What You Know,T.I.,0.551,0.81,-4.365,0.332,73.464
Money Maker,Ludacris,0.551,0.598,-6.79,0.612,78.756
What's Left Of Me,Nick Lachey,0.42,0.742,-5.665,0.294,149.965
Chain Hang Low,Jibbs,0.792,0.589,-6.869,0.778,157.147
When The Sun Goes Down,Arctic Monkeys,0.348,0.875,-4.758,0.407,169.152
Life is a Highway,Rascal Flatts,0.561,0.936,-5.409,0.594,103.055
Check On It (feat. Slim Thug),Beyoncé,0.7,0.887,-3.887,0.883,166.104
Love,Keyshia Cole,0.688,0.519,-4.285,0.318,116.714
Smile,Lily Allen,0.632,0.639,-5.938,0.733,95.506
Sexy Love,Ne-Yo,0.693,0.516,-6.446,0.494,94.02
Too Little Too Late,JoJo,0.535,0.823,-5.338,0.685,83.001
One,Mary J. Blige,0.344,0.874,-3.161,0.269,185.888
Ms. New Booty,Bubba Sparxxx,0.64,0.62,-5.931,0.609,129.37
You Know I'm No Good,Amy Winehouse,0.705,0.806,-3.607,0.734,103.383
What Hurts The Most,Rascal Flatts,0.537,0.674,-5.134,0.33,136.002
Dani California,Red Hot Chili Peppers,0.556,0.913,-2.36,0.73,96.184
I Don't Feel Like Dancin',Scissor Sisters,0.707,0.923,-3.409,0.845,108.023
So Sick,Ne-Yo,0.452,0.574,-8.336,0.58,92.791
Lips Of An Angel,Hinder,0.474,0.744,-5.386,0.238,129.005
"Steady, As She Goes",The Raconteurs,0.525,0.578,-4.563,0.537,123.696
Chelsea Dagger,The Fratellis,0.511,0.815,-3.14,0.586,154.514
Where'd You Go (feat. Holly Brook & Jonah Matranga),Fort Minor,0.684,0.819,-3.309,0.25,179.999
Stickwitu,The Pussycat Dolls,0.548,0.554,-6.408,0.382,79.918
I Write Sins Not Tragedies,Panic! At The Disco,0.566,0.815,-4.481,0.672,169.961
Goodbye My Lover,James Blunt,0.432,0.261,-12.591,0.273,89.567
Ain't No Other Man,Christina Aguilera,0.862,0.742,-4.722,0.511,127.91
The Rose,Westlife,0.272,0.203,-9.706,0.172,109.581
Is It Any Wonder?,Keane,0.489,0.955,-2.771,0.816,129.352
No Tomorrow,Orson,0.656,0.624,-4.623,0.735,124.082
I'm N Luv (Wit a Stripper) (feat. Mike Jones),T-Pain,0.731,0.368,-10.38,0.512,145.171
Black Horse And The Cherry Tree,KT Tunstall,0.748,0.786,-7.788,0.917,104.833
Unwritten,Natasha Bedingfield,0.706,0.8,-6.333,0.629,100.011
America,Razorlight,0.447,0.568,-4.975,0.149,90.933
You Give Me Something,James Morrison,0.559,0.688,-6.496,0.578,79.753
You're All I Have,Snow Patrol,0.467,0.921,-4.554,0.501,132.013
How to Save a Life,The Fray,0.64,0.743,-4.08,0.361,122.035
I Wish I Was a Punk Rocker (with Flowers in My Hair),Sandi Thom,0.7,0.465,-6.815,0.719,108.102
Welcome to the Black Parade,My Chemical Romance,0.217,0.905,-4.103,0.236,96.95
In The Morning,Razorlight,0.616,0.855,-3.495,0.686,124.191
Dirty Little Secret,The All-American Rejects,0.469,0.955,-4.253,0.462,143.853
Wonderful World,James Morrison,0.474,0.71,-4.606,0.591,78.969
Yo (Excuse Me Miss),Chris Brown,0.536,0.612,-5.847,0.57,86.768
Who Knew,P!nk,0.688,0.734,-4.569,0.46,140.004
Naive,The Kooks,0.391,0.808,-6.209,0.737,100.304
Bleeding Love,Leona Lewis,0.638,0.656,-5.886,0.225,104.036
Umbrella,Rihanna,0.583,0.829,-4.603,0.575,174.028
Gimme More,Britney Spears,0.788,0.844,-3.131,0.382,113.324
Big Girls Don't Cry (Personal),Fergie,0.708,0.641,-4.296,0.253,113.082
Valerie (feat. Amy Winehouse) - Version Revisited,Mark Ronson,0.698,0.844,-4.789,0.896,105.828
Hey There Delilah,Plain White T's,0.656,0.291,-10.572,0.298,103.971
What Goes Around.../...Comes Around (Interlude),Justin Timberlake,0.687,0.723,-4.751,0.432,76.0
The Sweet Escape,Gwen Stefani,0.756,0.77,-3.502,0.73,119.961
The Way I Are,Timbaland,0.731,0.807,-6.492,0.765,114.759
Say It Right,Nelly Furtado,0.872,0.872,-6.328,0.809,116.948
Let Me Think About It,Ida Corr,0.762,0.754,-3.425,0.715,129.026
Destination Calabria - Radio Edit,Alex Gaudino,0.627,0.954,-4.804,0.312,128.016
Cry for You,September,0.767,0.881,-3.988,0.961,130.018
Smack That,Akon,0.94,0.743,-5.166,0.932,118.988
Give It To Me,Timbaland,0.975,0.711,-3.904,0.815,110.621
Ayo Technology,50 Cent,0.63,0.782,-5.44,0.418,140.144
Proper Education - Radio Edit,Eric Prydz,0.537,0.937,-4.543,0.324,124.938
Put Your Hands Up For Detroit - Radio Edit,Fedde Le Grand,0.827,0.931,-4.474,0.491,127.995
Like a Boy,Ciara,0.701,0.724,-5.751,0.425,132.035
Stronger,Kanye West,0.617,0.717,-7.858,0.49,103.992
Beautiful Liar,Beyoncé,0.764,0.751,-3.74,0.418,91.977
Cupid's Chokehold / Breakfast in America - Radio Mix,Gym Class Heroes,0.584,0.681,-5.084,0.821,79.702
I Wanna Love You,Akon,0.865,0.45,-9.387,0.352,99.989
Crank That (Soulja Boy),Soulja Boy,0.736,0.74,-2.18,0.803,140.141
Make It Rain,Fat Joe,0.744,0.697,-5.063,0.767,149.28
U + Ur Hand,P!nk,0.709,0.891,-3.688,0.886,141.04
Shut Up And Drive,Rihanna,0.735,0.826,-4.902,0.74,132.964
Get It Shawty,Lloyd,0.822,0.905,-4.032,0.674,128.014
Can't Tell Me Nothing,Kanye West,0.596,0.62,-6.133,0.102,80.029
The Creeps - Fedde Le Grand Radio Mix,Camille Jones,0.847,0.861,-6.632,0.724,127.894
